"lambda","abs_bg"
400,0.043
401,0.042
402,0.042
403,0.041
404,0.041
405,0.04
406,0.04
407,0.039
408,0.039
409,0.038
410,0.038
411,0.038
412,0.037
413,0.037
414,0.037
415,0.036
416,0.036
417,0.036
418,0.036
419,0.036
420,0.035
421,0.035
422,0.035
423,0.035
424,0.034
425,0.034
426,0.033
427,0.033
428,0.032
429,0.032
430,0.032
431,0.031
432,0.031
433,0.031
434,0.03
435,0.03
436,0.03
437,0.03
438,0.029
439,0.029
440,0.029
441,0.028
442,0.028
443,0.029
444,0.029
445,0.028
446,0.028
447,0.028
448,0.028
449,0.029
450,0.028
451,0.028
452,0.028
453,0.028
454,0.028
455,0.028
456,0.028
457,0.028
458,0.027
459,0.027
460,0.028
461,0.028
462,0.028
463,0.027
464,0.027
465,0.028
466,0.028
467,0.028
468,0.027
469,0.027
470,0.028
471,0.028
472,0.027
473,0.027
474,0.027
475,0.027
476,0.028
477,0.027
478,0.027
479,0.027
480,0.027
481,0.026
482,0.026
483,0.026
484,0.027
485,0.027
486,0.026
487,0.026
488,0.026
489,0.026
490,0.026
491,0.025
492,0.026
493,0.026
494,0.027
495,0.026
496,0.027
497,0.027
498,0.027
499,0.028
500,0.029
501,0.031
502,0.032
503,0.033
504,0.034
505,0.035
506,0.036
507,0.038
508,0.039
509,0.041
510,0.042
511,0.044
512,0.045
513,0.047
514,0.048
515,0.049
516,0.049
517,0.049
518,0.05
519,0.05
520,0.05
521,0.05
522,0.05
523,0.051
524,0.051
525,0.051
526,0.052
527,0.052
528,0.052
529,0.053
530,0.053
531,0.053
532,0.054
533,0.054
534,0.054
535,0.054
536,0.054
537,0.055
538,0.054
539,0.054
540,0.054
541,0.055
542,0.056
543,0.057
544,0.057
545,0.058
546,0.059
547,0.06
548,0.061
549,0.062
550,0.064
551,0.065
552,0.066
553,0.066
554,0.067
555,0.067
556,0.067
557,0.067
558,0.067
559,0.068
560,0.068
561,0.069
562,0.069
563,0.07
564,0.07
565,0.071
566,0.072
567,0.073
568,0.074
569,0.075
570,0.076
571,0.078
572,0.079
573,0.081
574,0.081
575,0.083
576,0.086
577,0.088
578,0.09
579,0.093
580,0.096
581,0.099
582,0.103
583,0.107
584,0.112
585,0.117
586,0.122
587,0.127
588,0.132
589,0.136
590,0.141
591,0.148
592,0.153
593,0.16
594,0.167
595,0.174
596,0.184
597,0.193
598,0.203
599,0.215
600,0.226
601,0.235
602,0.243
603,0.25
604,0.256
605,0.261
606,0.264
607,0.266
608,0.269
609,0.269
610,0.27
611,0.27
612,0.271
613,0.271
614,0.272
615,0.272
616,0.273
617,0.274
618,0.275
619,0.278
620,0.28
621,0.282
622,0.284
623,0.286
624,0.287
625,0.289
626,0.291
627,0.292
628,0.294
629,0.296
630,0.297
631,0.299
632,0.301
633,0.303
634,0.305
635,0.307
636,0.309
637,0.311
638,0.314
639,0.316
640,0.319
641,0.321
642,0.324
643,0.325
644,0.328
645,0.33
646,0.333
647,0.335
648,0.338
649,0.342
650,0.347
651,0.352
652,0.357
653,0.362
654,0.368
655,0.375
656,0.382
657,0.39
658,0.397
659,0.404
660,0.411
661,0.417
662,0.422
663,0.427
664,0.429
665,0.432
666,0.434
667,0.437
668,0.439
669,0.442
670,0.444
671,0.446
672,0.449
673,0.45
674,0.452
675,0.454
676,0.456
677,0.459
678,0.462
679,0.466
680,0.47
681,0.474
682,0.477
683,0.481
684,0.485
685,0.49
686,0.496
687,0.503
688,0.509
689,0.516
690,0.522
691,0.529
692,0.536
693,0.543
694,0.554
695,0.565
696,0.576
697,0.586
698,0.597
699,0.612
700,0.617
